Index,Name,Chromosome,Position,GenTrain Score,SNP,ILMN Strand,Customer Strand,NormID
1,snp0000001,1,1000000,1.0,[G/A],TOP,TOP,1
2,snp0000002,2,2000001,1.0,[G/A],TOP,TOP,1
3,snp0000003,3,3000002,1.0,[G/A],TOP,TOP,1
4,snp0000004,4,4000003,1.0,[G/A],TOP,TOP,1
5,snp0000005,5,5000004,1.0,[G/A],TOP,TOP,1
6,snp0000006,6,6000005,1.0,[G/A],TOP,TOP,1
7,snp0000007,7,7000006,1.0,[G/A],TOP,TOP,1
8,snp0000008,8,8000007,1.0,[G/A],TOP,TOP,1
9,snp0000009,9,9000008,1.0,[G/A],TOP,TOP,1
10,snp0000010,10,10000009,1.0,[G/A],TOP,TOP,1
